Day,Time,From,To
mon-fri,10:35,APU,LRT - Bukit Jalil
mon-fri,11:30,APU,LRT - Bukit Jalil
mon-fri,12:00,APU,LRT - Bukit Jalil
mon-fri,12:20,APU,LRT - Bukit Jalil
mon-fri,12:35,APU,LRT - Bukit Jalil
mon-fri,12:50,APU,LRT - Bukit Jalil
mon-fri,13:05,APU,LRT - Bukit Jalil
mon-fri,13:10,APU,LRT - Bukit Jalil
mon-fri,13:15,APU,LRT - Bukit Jalil
mon-fri,13:20,APU,LRT - Bukit Jalil
mon-fri,14:00,APU,LRT - Bukit Jalil
mon-fri,14:15,APU,LRT - Bukit Jalil
mon-fri,14:30,APU,LRT - Bukit Jalil
mon-fri,14:55,APU,LRT - Bukit Jalil
mon-fri,15:10,APU,LRT - Bukit Jalil
mon-fri,15:20,APU,LRT - Bukit Jalil
mon-fri,15:30,APU,LRT - Bukit Jalil
mon-fri,15:45,APU,LRT - Bukit Jalil
mon-fri,16:00,APU,LRT - Bukit Jalil
mon-fri,16:15,APU,LRT - Bukit Jalil
mon-fri,16:30,APU,LRT - Bukit Jalil
mon-fri,16:45,APU,LRT - Bukit Jalil
mon-fri,17:00,APU,LRT - Bukit Jalil
mon-fri,17:10,APU,LRT - Bukit Jalil
mon-fri,17:20,APU,LRT - Bukit Jalil
mon-fri,17:30,APU,LRT - Bukit Jalil
mon-fri,17:40,APU,LRT - Bukit Jalil
mon-fri,18:00,APU,LRT - Bukit Jalil
mon-fri,18:10,APU,LRT - Bukit Jalil
mon-fri,18:15,APU,LRT - Bukit Jalil
mon-fri,18:40,APU,LRT - Bukit Jalil
mon-fri,18:55,APU,LRT - Bukit Jalil
mon-fri,19:15,APU,LRT - Bukit Jalil
mon-fri,20:45,APU,LRT - Bukit Jalil
mon-fri,21:45,APU,LRT - Bukit Jalil
mon-fri,07:45,LRT - Bukit Jalil,APU
mon-fri,07:50,LRT - Bukit Jalil,APU
mon-fri,07:55,LRT - Bukit Jalil,APU
mon-fri,08:00,LRT - Bukit Jalil,APU
mon-fri,08:05,LRT - Bukit Jalil,APU
mon-fri,08:15,LRT - Bukit Jalil,APU
mon-fri,08:20,LRT - Bukit Jalil,APU
mon-fri,08:25,LRT - Bukit Jalil,APU
mon-fri,08:30,LRT - Bukit Jalil,APU
mon-fri,08:35,LRT - Bukit Jalil,APU
mon-fri,08:45,LRT - Bukit Jalil,APU
mon-fri,09:00,LRT - Bukit Jalil,APU
mon-fri,09:10,LRT - Bukit Jalil,APU
mon-fri,09:20,LRT - Bukit Jalil,APU
mon-fri,09:30,LRT - Bukit Jalil,APU
mon-fri,09:50,LRT - Bukit Jalil,APU
mon-fri,10:00,LRT - Bukit Jalil,APU
mon-fri,10:05,LRT - Bukit Jalil,APU
mon-fri,10:10,LRT - Bukit Jalil,APU
mon-fri,10:15,LRT - Bukit Jalil,APU
mon-fri,10:30,LRT - Bukit Jalil,APU
mon-fri,10:35,LRT - Bukit Jalil,APU
mon-fri,10:45,LRT - Bukit Jalil,APU
mon-fri,11:00,LRT - Bukit Jalil,APU
mon-fri,11:05,LRT - Bukit Jalil,APU
mon-fri,11:10,LRT - Bukit Jalil,APU
mon-fri,11:25,LRT - Bukit Jalil,APU
mon-fri,11:40,LRT - Bukit Jalil,APU
mon-fri,12:10,LRT - Bukit Jalil,APU
mon-fri,12:30,LRT - Bukit Jalil,APU
mon-fri,12:45,LRT - Bukit Jalil,APU
mon-fri,13:00,LRT - Bukit Jalil,APU
mon-fri,13:15,LRT - Bukit Jalil,APU
mon-fri,13:20,LRT - Bukit Jalil,APU
mon-fri,13:30,LRT - Bukit Jalil,APU
mon-fri,14:10,LRT - Bukit Jalil,APU
mon-fri,14:25,LRT - Bukit Jalil,APU
mon-fri,14:40,LRT - Bukit Jalil,APU
mon-fri,15:05,LRT - Bukit Jalil,APU
mon-fri,15:20,LRT - Bukit Jalil,APU
mon-fri,15:40,LRT - Bukit Jalil,APU
mon-fri,15:55,LRT - Bukit Jalil,APU
mon-fri,16:10,LRT - Bukit Jalil,APU
mon-fri,16:25,LRT - Bukit Jalil,APU
mon-fri,17:10,LRT - Bukit Jalil,APU
mon-fri,17:30,LRT - Bukit Jalil,APU
mon-fri,18:20,LRT - Bukit Jalil,APU
